name,capital,population,languages,currency
Åland Islands,Mariehamn,"30,654",Swedish,Euro (€)
Albania,Tirana,"2,363,314",Albanian,Albanian lek (L)
Andorra,Andorra la Vella,"88,406",Catalan,Euro (€)
Austria,Vienna,"9,200,931",German,Euro (€)
Belarus,Minsk,"9,109,280","Belarusian, Russian",Belarusian ruble (Br)
Belgium,Brussels,"11,825,551","German, French, Dutch",Euro (€)
Bosnia and Herzegovina,Sarajevo,"3,422,000","Bosnian, Croatian, Serbian",Bosnia and Herzegovina convertible mark (KM)
Bulgaria,Sofia,"6,437,360",Bulgarian,Bulgarian lev (лв)
Croatia,Zagreb,"3,866,233",Croatian,Euro (€)
Cyprus,Nicosia,"1,442,614","Greek, Turkish",Euro (€)
Czechia,Prague,"10,882,341","Czech, Slovak",Czech koruna (Kč)
Denmark,Copenhagen,"6,011,488",Danish,Danish krone (kr)
Estonia,Tallinn,"1,369,995",Estonian,Euro (€)
Faroe Islands,Tórshavn,"54,885","Danish, Faroese",Danish krone (kr)
Finland,Helsinki,"5,650,325","Finnish, Swedish",Euro (€)
France,Paris,"66,351,959",French,Euro (€)
Germany,Berlin,"83,491,249",German,Euro (€)
Gibraltar,Gibraltar,"38,000",English,Gibraltar pound (£)
Greece,Athens,"10,400,720",Greek,Euro (€)
Guernsey,St. Peter Port,"64,781","English, French, Guernésiais",British pound (£)
Hungary,Budapest,"9,539,502",Hungarian,Hungarian forint (Ft)
Iceland,Reykjavik,"391,810",Icelandic,Icelandic króna (kr)
Ireland,Dublin,"5,458,600","English, Irish",Euro (€)
Isle of Man,Douglas,"84,530","English, Manx",British pound (£)
Italy,Rome,"58,927,633","Italian, Catalan",Euro (€)
Jersey,Saint Helier,"103,267","English, French, Jèrriais",British pound (£)
Kosovo,Pristina,"1,585,566","Albanian, Serbian",Euro (€)
Latvia,Riga,"1,829,000",Latvian,Euro (€)
Liechtenstein,Vaduz,"40,900",German,Swiss franc (Fr)
Lithuania,Vilnius,"2,894,886",Lithuanian,Euro (€)
Luxembourg,Luxembourg,"681,973","German, French, Luxembourgish",Euro (€)
Malta,Valletta,"574,250","English, Maltese",Euro (€)
Moldova,Chișinău,"2,749,076",Romanian,Moldovan leu (L)
Monaco,Monaco,"38,423",French,Euro (€)
Montenegro,Podgorica,"623,327",Montenegrin,Euro (€)
Netherlands,Amsterdam,"18,100,436",Dutch,Euro (€)
North Macedonia,Skopje,"1,822,612",Macedonian,Denar (den)
Norway,Oslo,"5,606,944","Norwegian Nynorsk, Norwegian Bokmål, Sami",Norwegian krone (kr)
Poland,Warsaw,"37,392,000",Polish,Polish złoty (zł)
Portugal,Lisbon,"10,749,635",Portuguese,Euro (€)
Romania,Bucharest,"19,036,031",Romanian,Romanian leu (lei)
Russia,Moscow,"146,028,325",Russian,Russian ruble (₽)
San Marino,City of San Marino,"34,132",Italian,Euro (€)
Serbia,Belgrade,"6,567,783",Serbian,Serbian dinar (дин.)
Slovakia,Bratislava,"5,413,813",Slovak,Euro (€)
Slovenia,Ljubljana,"2,130,638",Slovene,Euro (€)
Spain,Madrid,"49,315,949","Spanish, Catalan, Basque, Galician",Euro (€)
Svalbard and Jan Mayen,Longyearbyen,"2,530",Norwegian,Krone (kr)
Sweden,Stockholm,"10,605,098",Swedish,Swedish krona (kr)
Switzerland,Bern,"9,082,848","French, Swiss German, Italian, Romansh",Swiss franc (Fr.)
Ukraine,Kyiv,"32,862,000",Ukrainian,Ukrainian hryvnia (₴)
United Kingdom,London,"69,281,437",English,British pound (£)
Vatican City,Vatican City,882,"Italian, Latin",Euro (€)